stageId	levelId	zoneId	code	name	description
act17d1_01_a	Activities/ACT17d1/level_act17d1_01_a	act17d1	MP-01-A	废旧地块残骸	
act17d1_01_b	Activities/ACT17d1/level_act17d1_01_b	act17d1	MP-01-B	废旧地块残骸	
act17d1_01_c	Activities/ACT17d1/level_act17d1_01_c	act17d1	MP-01-C	废旧地块残骸	
act17d1_02_a	Activities/ACT17d1/level_act17d1_02_a	act17d1	MP-02-A	古老废城高塔	
act17d1_02_b	Activities/ACT17d1/level_act17d1_02_b	act17d1	MP-02-B	古老废城高塔	
act17d1_02_c	Activities/ACT17d1/level_act17d1_02_c	act17d1	MP-02-C	古老废城高塔	
act17d1_03_a	Activities/ACT17d1/level_act17d1_03_a	act17d1	MP-03-A	废弃工业厂房	
act17d1_03_b	Activities/ACT17d1/level_act17d1_03_b	act17d1	MP-03-B	废弃工业厂房	
act17d1_03_c	Activities/ACT17d1/level_act17d1_03_c	act17d1	MP-03-C	废弃工业厂房	
rune_01-01_cc_act5d1	Activities/ACT5d1/level_rune_01-01	cc_act5d1	龙门外环	荒芜广场	位于贫民窟正中间的宽阔空地。除了随意丢弃的垃圾与无家可归的流浪者外，这里还成为了敌人躲藏的最佳窝点。
rune_01-02_cc_act5d1	Activities/ACT5d1/level_rune_01-02	cc_act5d1	龙门外环	无人危楼	此处高楼遭到战火毁坏且无人问津，而敌人占据了这处制高点，并利用视野优势据守一方。我们必须夺回这里。
rune_01-03_cc_act5d1	Activities/ACT5d1/level_rune_01-03	cc_act5d1	切尔诺伯格	59区废墟	切尔诺伯格分城区，因面积较小、缺乏战略意义而遭到废弃，现已被游荡的敌方单位占据，需阻止敌人穿越我方包围网。
level_rune_01-01	Obt/Rune/level_rune_01-01	cc0	龙门外环	荒芜广场	位于贫民窟正中间的宽阔空地。除了随意丢弃的垃圾与无家可归的流浪者外，这里还成为了敌人躲藏的最佳窝点。
level_rune_01-02	Obt/Rune/level_rune_01-02	cc0	龙门外环	无人危楼	此处高楼遭到战火毁坏且无人问津，而敌人占据了这处制高点，并利用视野优势据守一方。我们必须夺回这里。
level_rune_01-03	Obt/Rune/level_rune_01-03	cc0	切尔诺伯格	59区废墟	切尔诺伯格分城区，因面积较小、缺乏战略意义而遭到废弃，现已被游荡的敌方单位占据，需阻止敌人穿越我方包围网。
level_rune_02-01	Obt/Rune/level_rune_02-01	cc1	未知沙漠	荒漠	地处偏远的无名荒漠，贫瘠崎岖的地形为流窜至此的敌人提供了庇护，有必要在敌方进一步深入荒野前阻止他们。
level_rune_02-02	Obt/Rune/level_rune_02-02	cc1	切尔诺伯格	破碎大道	被战火摧残的街道，路面斑驳，断壁残垣，而造成这一切的罪魁祸首依旧驻扎在这片区域。
level_rune_02-03	Obt/Rune/level_rune_02-03	cc1	龙门	新街	龙门最繁华的街道之一，如今只剩下仓促逃难所遗留的一地残骸，有部分敌人在此区域行动，并对附近的普通市民构成了威胁。
level_rune_02-04	Obt/Rune/level_rune_02-04	cc1	龙门	中转站	龙门赖以生存的物流枢纽，作为重要的战略据点陷入多方的争夺，现在，我们要取回这里的掌控权。
